Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 9, 300, 200, 1002, 2.660433909137639, 0
5, 1, 9, 300, 200, 200, 0, 6.422855625237361
5, 1, 10, 300, 200, 1002, 1.8812108580498608, 0
5, 1, 10, 300, 200, 200, 0, 4.5416447671875
5, 1, 11, 300, 200, 1002, 1.3302169545688196, 0
5, 1, 11, 300, 200, 200, 0, 3.2114278126186804
5, 1, 12, 300, 200, 1002, 0.9406054290249304, 0
5, 1, 12, 300, 200, 200, 0, 2.27082238359375
5, 1, 13, 300, 200, 1002, 0.6651084772844098, 0
5, 1, 13, 300, 200, 200, 0, 1.6057139063093402
5, 1, 14, 300, 200, 1002, 0.4703027145124652, 0
5, 1, 14, 300, 200, 200, 0, 1.135411191796875
5, 1, 15, 300, 200, 1002, 0.3325542386422049, 0
5, 1, 15, 300, 200, 200, 0, 0.8028569531546701
5, 1, 16, 300, 200, 1002, 0.2351513572562326, 0
5, 1, 16, 300, 200, 200, 0, 0.5677055958984375
5, 1, 17, 300, 200, 1002, 0.16627711932110245, 0
5, 1, 17, 300, 200, 200, 0, 0.40142847657733505
5, 1, 18, 300, 200, 1002, 0.1175756786281163, 0
5, 1, 18, 300, 200, 200, 0, 0.28385279794921875
5, 1, 19, 300, 200, 1002, 0.08313855966055123, 0
5, 1, 19, 300, 200, 200, 0, 0.20071423828866752
5, 2, 2, 300, 204, 1002, 0.3483776392765954, 0
5, 2, 2, 300, 204, 204, 0, 17.417480360723403
5, 2, 3, 300, 204, 1002, 0.34154616625976075, 0
5, 2, 3, 300, 204, 204, 0, 17.075934194463642
5, 2, 4, 300, 204, 1002, 0.3348486542619966, 0
5, 2, 4, 300, 204, 204, 0, 16.741085540201645
5, 2, 5, 300, 204, 1002, 0.32828247638943253, 0
5, 2, 5, 300, 204, 204, 0, 16.412803063812213
5, 2, 6, 300, 204, 1002, 0.32184505725997425, 0
5, 2, 6, 300, 204, 204, 0, 16.09095800655224
5, 2, 7, 300, 204, 1002, 0.3155338719932086, 0
5, 2, 7, 300, 204, 204, 0, 15.77542413455903
5, 2, 8, 300, 204, 1002, 0.30934644522007915, 0
5, 2, 8, 300, 204, 204, 0, 15.46607768933895
