Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 1, 300, 204, 1000, 0.023108143765039203, 0
5, 1, 1, 300, 204, 1005, 0.005777035941259801, 0
5, 1, 1, 300, 204, 204, 0, 3.736101445293702
5, 1, 2, 300, 204, 1000, 0.0229308568443102, 0
5, 1, 2, 300, 204, 1005, 0.00573271421107755, 0
5, 1, 2, 300, 204, 204, 0, 3.7074378742383143
5, 1, 3, 300, 204, 1000, 0.02275493007836431, 0
5, 1, 3, 300, 204, 1005, 0.005688732519591078, 0
5, 1, 3, 300, 204, 204, 0, 3.678994211640359
5, 1, 4, 300, 204, 1000, 0.022580353032019575, 0
5, 1, 4, 300, 204, 1005, 0.005645088258004894, 0
5, 1, 4, 300, 204, 204, 0, 3.6507687703503344
5, 1, 5, 300, 204, 1000, 0.022407115350156204, 0
5, 1, 5, 300, 204, 1005, 0.005601778837539051, 0
5, 1, 5, 300, 204, 204, 0, 3.622759876162639
5, 1, 6, 300, 204, 1000, 0.022235206757097715, 0
5, 1, 6, 300, 204, 1005, 0.005558801689274429, 0
5, 1, 6, 300, 204, 204, 0, 3.594965867716267
5, 1, 7, 300, 204, 1000, 0.02206461705600269, 0
5, 1, 7, 300, 204, 1005, 0.0055161542640006726, 0
5, 1, 7, 300, 204, 204, 0, 3.5673850963962637
5, 1, 8, 300, 204, 1000, 0.021895336128261535, 0
5, 1, 8, 300, 204, 1005, 0.005473834032065384, 0
5, 1, 8, 300, 204, 204, 0, 3.5400159262359367
5, 1, 9, 300, 204, 1000, 0.02172735393289429, 0
5, 1, 9, 300, 204, 1005, 0.005431838483223573, 0
5, 1, 9, 300, 204, 204, 0, 3.512856733819819
5, 1, 10, 300, 204, 1000, 0.021560660505956977, 0
5, 1, 10, 300, 204, 1005, 0.005390165126489244, 0
5, 1, 10, 300, 204, 204, 0, 3.4859059081873727
5, 1, 11, 300, 204, 1000, 0.02139524595994935, 0
5, 1, 11, 300, 204, 1005, 0.005348811489987337, 0
5, 1, 11, 300, 204, 204, 0, 3.459161850737436
5, 1, 12, 300, 204, 1000, 0.021231100483226586, 0
5, 1, 12, 300, 204, 1005, 0.005307775120806647, 0
5, 1, 12, 300, 204, 204, 0, 3.4326229751334028
5, 1, 13, 300, 204, 1000, 0.021068214339422655, 0
5, 1, 13, 300, 204, 1005, 0.005267053584855664, 0
5, 1, 13, 300, 204, 204, 0, 3.4062877072091244
5, 1, 14, 300, 204, 1000, 0.020906577866866984, 0
5, 1, 14, 300, 204, 1005, 0.005226644466716746, 0
5, 1, 14, 300, 204, 204, 0, 3.3801544848755407
5, 1, 15, 300, 204, 1000, 0.02074618147801388, 0
5, 1, 15, 300, 204, 1005, 0.00518654536950347, 0
5, 1, 15, 300, 204, 204, 0, 3.3542217580280234
5, 1, 16, 300, 204, 1000, 0.020587015658876242, 0
5, 1, 16, 300, 204, 1005, 0.0051467539147190605, 0
5, 1, 16, 300, 204, 204, 0, 3.328487988454428
5, 1, 17, 300, 204, 1000, 0.020429070968455323, 0
5, 1, 17, 300, 204, 1005, 0.005107267742113831, 0
5, 1, 17, 300, 204, 204, 0, 3.302951649743859
5, 1, 18, 300, 204, 1000, 0.020272338038187954, 0
5, 1, 18, 300, 204, 1005, 0.005068084509546988, 0
5, 1, 18, 300, 204, 204, 0, 3.277611227196124
